iter	Passed	Remaining
472	660	735
473	661	733
474	661	731
475	662	729
476	663	727
477	664	725
478	665	723
479	666	721
480	667	720
481	668	718
482	669	716
483	670	714
484	671	712
485	672	710
486	672	708
487	673	706
488	674	705
489	675	703
490	676	701
491	677	699
492	677	697
493	678	695
494	679	693
495	680	691
496	681	689
497	682	688
498	683	686
499	684	684
500	685	682
501	686	680
502	687	679
503	688	677
504	689	675
505	690	673
506	690	671
507	691	669
508	692	668
509	693	666
510	694	664
511	695	662
512	696	660
513	697	659
514	698	657
515	698	655
516	699	653
517	700	651
518	701	649
519	702	648
520	702	646
521	703	644
522	704	642
523	705	640
524	706	638
525	707	637
526	707	635
527	709	633
528	710	632
529	711	630
530	711	628
531	712	626
532	713	625
533	714	623
534	715	621
535	716	619
536	716	618
537	717	616
538	718	614
539	719	612
540	719	610
541	720	608
542	721	607
543	722	605
544	723	604
545	725	602
546	725	601
547	726	599
548	727	597
549	728	595
550	729	594
551	730	592
552	731	590
553	731	589
554	732	587
555	733	585
556	734	584
557	735	582
558	736	580
559	736	578
560	737	577
561	738	575
562	739	574
563	740	572
564	741	570
565	742	569
566	743	567
567	744	565
568	744	564
569	745	562
570	746	561
571	747	559
572	748	557
573	749	556
574	750	554
575	751	553
576	752	551
577	753	549
578	754	548
579	755	546
580	756	545
581	757	543
582	758	542
583	759	540
584	760	539
585	761	537
586	761	536
587	762	534
588	763	532
589	764	531
590	765	529
591	766	528
592	767	526
593	767	524
594	768	523
595	770	521
596	770	520
597	771	518
598	772	517
599	773	515
600	774	514
601	775	512
602	775	510
603	776	509
604	777	507
605	778	505
606	778	504
607	779	502
608	780	501
609	781	499
610	782	497
611	782	496
612	784	494
613	784	493
614	785	491
615	786	490
616	787	488
617	788	487
618	789	485
619	790	484
620	790	482
621	791	481
622	792	479
623	793	478
624	794	476
625	795	475
626	796	473
627	797	472
628	798	470
629	799	469
630	800	467
631	800	466
632	801	464
633	802	463
634	803	461
635	804	460
636	805	459
637	807	457
638	807	456
639	808	454
640	809	453
641	810	451
642	811	450
643	812	448
644	813	447
645	814	446
646	815	444
647	816	443
648	817	441
649	818	440
650	819	439
651	820	437
652	820	436
653	821	434
654	822	433
655	823	431
656	824	430
657	825	428
658	826	427
659	826	425
660	827	424
661	828	423
662	829	421
663	830	420
664	831	418
665	832	417
666	833	415
667	833	414
668	834	413
669	835	411
670	836	410
671	837	408
672	837	407
673	838	405
674	839	404
675	840	402
676	841	401
677	842	399
678	842	398
679	843	396
680	844	395
681	845	394
682	846	393
683	847	391
684	848	390
685	849	388
686	850	387
687	851	385
688	851	384
689	852	383
690	853	381
691	854	380
692	855	379
693	856	377
694	857	376
695	858	374
696	859	373
697	860	372
698	861	370
699	862	369
700	863	368
701	864	366
702	865	365
703	865	364
704	866	362
705	867	361
706	868	360
707	869	358
708	870	357
709	871	356
710	872	354
711	873	353
712	874	352
713	875	350
714	876	349
715	877	348
716	878	346
717	879	345
718	879	343
719	880	342
720	881	341
721	882	339
722	883	338
723	883	336
724	884	335
725	885	334
726	886	332
727	887	331
728	888	330
729	889	328
730	890	327
731	890	326
732	891	324
733	892	323
734	893	322
735	894	320
736	895	319
737	896	318
738	897	316
739	897	315
740	898	314
741	899	312
742	900	311
743	901	310
744	902	308
745	903	307
746	904	306
747	905	305
748	906	303
749	907	302
750	908	301
751	909	299
752	909	298
753	910	297
754	911	295
755	912	294
756	913	293
757	914	291
758	915	290
759	916	289
760	917	288
761	918	286
762	919	285
763	920	284
764	921	282
765	922	281
766	923	280
767	924	279
768	924	277
769	925	276
770	926	275
771	927	273
772	928	272
773	928	271
774	929	269
775	930	268
776	931	267
777	932	266
778	933	264
779	934	263
780	935	262
781	936	260
782	937	259
783	937	258
784	938	257
785	939	255
786	940	254
787	941	253
788	942	251
789	942	250
790	943	249
791	944	248
792	945	246
793	946	245
794	947	244
795	947	242
796	948	241
797	949	240
798	950	239
799	951	237
800	952	236
801	953	235
802	953	234
803	954	232
804	955	231
805	956	230
806	957	228
807	958	227
808	959	226
809	960	225
810	960	223
811	961	222
812	962	221
813	963	220
814	964	218
815	965	217
816	965	216
817	966	215
818	967	213
819	968	212
820	969	211
821	970	210
822	972	209
823	972	207
824	973	206
825	974	205
826	975	204
827	976	202
828	977	201
829	978	200
830	979	199
831	979	197
832	981	196
833	982	195
834	983	194
835	983	193
836	984	191
837	985	190
838	986	189
839	987	188
840	988	186
841	989	185
842	990	184
843	991	183
844	992	182
845	993	180
846	994	179
847	996	178
848	997	177
849	998	176
850	999	174
851	1000	173
852	1001	172
853	1002	171
854	1002	170
855	1003	168
856	1004	167
857	1005	166
858	1006	165
859	1007	164
860	1008	162
861	1009	161
862	1010	160
863	1011	159
864	1012	158
865	1014	156
866	1015	155
867	1015	154
868	1016	153
869	1017	152
870	1018	150
871	1019	149
872	1020	148
873	1021	147
874	1022	146
875	1023	144
876	1023	143
877	1024	142
878	1025	141
879	1027	140
880	1027	138
881	1028	137
882	1029	136
883	1030	135
884	1031	134
885	1032	132
886	1033	131
887	1033	130
888	1034	129
889	1035	127
890	1036	126
891	1037	125
892	1038	124
893	1039	123
894	1041	122
895	1042	120
896	1043	119
897	1044	118
898	1045	117
899	1046	116
900	1047	115
901	1048	113
902	1049	112
903	1050	111
904	1050	110
905	1051	109
906	1052	107
907	1053	106
908	1054	105
909	1055	104
910	1056	103
911	1057	102
912	1058	100
913	1059	99
914	1060	98
915	1061	97
916	1062	96
917	1062	94
918	1063	93
919	1064	92
920	1065	91
921	1066	90
922	1067	89
923	1068	87
924	1069	86
925	1069	85
926	1071	84
927	1072	83
928	1073	82
929	1074	80
930	1075	79
931	1076	78
932	1077	77
933	1078	76
934	1079	75
935	1080	73
936	1081	72
937	1082	71
938	1083	70
939	1083	69
940	1084	68
941	1085	66
942	1086	65
943	1087	64
944	1088	63
945	1089	62
946	1090	61
947	1091	59
948	1092	58
949	1092	57
950	1093	56
951	1094	55
952	1095	54
953	1096	52
954	1097	51
955	1098	50
956	1099	49
957	1100	48
958	1101	47
959	1102	45
960	1103	44
961	1104	43
962	1105	42
963	1105	41
964	1106	40
965	1107	38
966	1108	37
967	1109	36
968	1110	35
969	1111	34
970	1113	33
971	1113	32
972	1114	30
973	1116	29
974	1117	28
975	1117	27
976	1118	26
977	1119	25
978	1120	24
979	1121	22
980	1122	21
981	1123	20
982	1124	19
983	1124	18
984	1125	17
985	1126	15
986	1127	14
987	1128	13
988	1129	12
989	1129	11
990	1131	10
991	1132	9
992	1133	7
993	1133	6
994	1134	5
995	1135	4
996	1136	3
997	1137	2
998	1138	1
999	1138	0
